time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-29T04:34:58.115Z,51.8592,-178.1014,5.823,2.8,ml,11,124,0.047,0.54,us,us6000k0hf,2023-03-30T00:41:07.040Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,1.44,4.724,0.148,14,reviewed,us,us
2023-03-29T04:11:22.666Z,-15.3285,-174.9924,289.262,4.7,mb,37,75,3.435,0.73,us,us6000k0hc,2023-03-30T00:28:02.040Z,"145 km WNW of Hihifo, Tonga",earthquake,10.77,9.204,0.104,28,reviewed,us,us
2023-03-29T02:15:54.400Z,36.727,71.2853,182.298,4.4,mb,24,75,2.642,0.48,us,us6000k0gv,2023-03-29T22:35:31.040Z,"Afghanistan-Tajikistan-Pakistan region",earthquake,5.46,12.49,0.239,5,reviewed,us,us
2023-03-29T00:34:59.155Z,36.5116,70.2942,201.25,4,mb,9,113,2.215,0.59,us,us6000k0gg,2023-03-29T00:53:27.040Z,"39 km E of Farkh?r, Afghanistan",earthquake,8.41,11.311,0.26,4,reviewed,us,us
2023-03-29T00:19:14.335Z,34.6026,70.6043,52.985,4.3,mb,48,78,1.29,0.93,us,us6000k0gc,2023-03-30T09:45:23.422Z,"Hindu Kush region, Afghanistan",earthquake,5.68,5.69,0.081,43,reviewed,us,us
2023-03-28T23:48:45.970Z,36.3179,139.4924,133.912,4.1,mb,19,149,1.059,0.41,us,us6000k0ga,2023-03-29T00:06:50.040Z,"4 km ESE of Ashikaga, Japan",earthquake,7.66,6.358,0.234,5,reviewed,us,us
2023-03-28T22:21:00.410Z,18.0931666666667,-66.8865,18.67,2.72,md,15,76,0.1177,0.27,pr,pr71401908,2023-03-29T02:49:22.967Z,"6 km NNE of Lluveras, Puerto Rico",earthquake,0.51,0.62,0.0454955263300021,9,reviewed,pr,pr
2023-03-28T21:52:45.073Z,41.6564,14.6553,8.416,4.7,mwr,78,34,0.628,0.88,us,us6000k0fj,2023-03-29T13:06:25.456Z,"1 km NW of Montagano, Italy",earthquake,2.01,4.041,0.048,41,reviewed,us,us
2023-03-28T21:12:20.120Z,61.5875,-147.9736,6.4,2.5,ml,,,,0.5,ak,ak023408bwt8,2023-03-28T21:27:42.040Z,"29 km SW of Glacier View, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-03-28T19:27:07.043Z,2.4101,128.7992,35,4.6,mb,42,91,2.168,0.43,us,us6000k0ex,2023-03-28T20:03:16.040Z,"115 km NE of Tobelo, Indonesia",earthquake,3.83,1.916,0.092,35,reviewed,us,us
2023-03-28T17:13:40.877Z,12.6459,-71.0189,44.083,4.5,mb,145,124,1.337,0.59,us,us6000k0e4,2023-03-29T16:40:58.893Z,"138 km NW of Punto Fijo, Venezuela",earthquake,8.98,8.307,0.041,185,reviewed,us,us
2023-03-28T17:05:56.574Z,30.2842,51.7982,10,4.5,mb,90,61,6.599,0.86,us,us6000k0e3,2023-03-29T15:40:51.040Z,"32 km NE of N?r?b?d, Iran",earthquake,6.04,1.788,0.064,72,reviewed,us,us
2023-03-28T14:50:18.396Z,64.2173,-150.4531,15.7,2.6,ml,,,,0.68,ak,ak023404e0nj,2023-03-28T15:41:24.040Z,"61 km W of Clear, Alaska, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-03-28T14:02:10.059Z,51.8586,-178.1097,7.254,2.5,ml,9,126,0.051,0.54,us,us6000k0hj,2023-03-29T16:43:03.040Z,"101 km W of Adak, Alaska",earthquake,1.47,3.178,0.128,8,reviewed,us,us
2023-03-28T13:07:17.439Z,-10.9198,166.7573,9.181,5.2,mww,58,68,4.521,0.56,us,us6000k0bv,2023-03-28T20:15:25.040Z,"107 km ESE of Lata, Solomon Islands",earthquake,10.17,4.118,0.062,25,reviewed,us,us
2023-03-28T13:04:00.490Z,37.6181667,-122.474,8.7,2.6,md,108,65,0.01707,0.08,nc,nc73863525,2023-03-30T19:11:34.311Z,"1km ENE of Pacifica, CA",earthquake,0.12,0.14,0.19,80,reviewed,nc,nc
2023-03-28T13:03:08.920Z,37.616,-122.4793333,8.99,2.58,md,109,70,0.02146,0.07,nc,nc73863520,2023-03-30T16:19:23.478Z,"1km ENE of Pacifica, CA",earthquake,0.12,0.17,0.188,74,reviewed,nc,nc
2023-03-28T13:01:18.360Z,37.6173333,-122.4773333,9.13,3.4,ml,133,69,0.01982,0.07,nc,nc73863515,2023-03-31T06:53:30.301Z,"1km ENE of Pacifica, CA",earthquake,0.12,0.17,0.17,146,reviewed,nc,nc
2023-03-28T12:54:01.794Z,-10.8856,166.845,10,5,mb,51,109,4.547,0.7,us,us6000k0bq,2023-03-28T13:48:47.040Z,"Santa Cruz Islands",earthquake,10.47,1.875,0.052,119,reviewed,us,us
2023-03-28T10:30:28.881Z,43.267,-110.8435,11.046,2.8,ml,44,68,0.204,0.48,us,us6000k0a5,2023-03-30T14:55:24.822Z,"Wyoming",earthquake,2.47,8.344,0.045,64,reviewed,us,us
2023-03-28T09:45:00.250Z,31.61676374,-103.9600927,5.270349121,2.5,ml,16,62,0.00962140967,0.1,tx,tx2023gbwn,2023-03-28T18:14:54.327Z,"35 km WSW of Mentone, Texas",earthquake,0.419103811,0.4443117326,0.2,11,reviewed,tx,tx
2023-03-28T09:44:27.335Z,31.61882519,-103.9622535,6.093005371,2.6,ml,26,56,0.009889849274,0.2,tx,tx2023gbwo,2023-03-28T18:18:27.552Z,"35 km WSW of Mentone, Texas",earthquake,0.4045083797,0.6448193351,0.2,21,reviewed,tx,tx
2023-03-28T09:18:28.117Z,41.148,142.805,34,6,mww,175,44,0.906,0.73,us,us6000k09q,2023-03-30T04:47:30.349Z,"129 km ENE of Misawa, Japan",earthquake,5.41,1.771,0.053,34,reviewed,us,us
2023-03-28T09:05:02.563Z,-2.6262,128.4726,10,4.1,mb,18,91,2.364,0.77,us,us6000k09l,2023-03-28T15:48:51.040Z,"93 km NNW of Amahai, Indonesia",earthquake,5.69,1.92,0.174,9,reviewed,us,us
2023-03-28T08:29:25.126Z,51.852,-178.0228,3.282,3.5,ml,15,70,0.019,0.7,us,us6000k0dq,2023-03-29T23:57:42.040Z,"95 km W of Adak, Alaska",earthquake,1.13,2.47,0.085,18,reviewed,us,us
2023-03-28T08:25:01.079Z,32.46551514,-102.0185071,8.583618164,2.5,ml,21,88,0.1436995489,0.1,tx,tx2023gbtz,2023-03-30T16:53:20.866Z,"29 km WSW of Ackerly, Texas",earthquake,0.5795254627,2.010046848,0.1,15,reviewed,tx,tx
2023-03-28T07:47:09.640Z,19.204,-66.2185,21.52,3.25,md,16,252,0.7807,0.23,pr,pr71401873,2023-03-28T21:12:57.715Z,"82 km N of San Juan, Puerto Rico",earthquake,0.91,17.95,0.122285480087188,11,reviewed,pr,pr
2023-03-28T07:19:14.100Z,51.8556666666667,-178.038166666667,-1.8,2.61,ml,5,137,,0.22,av,av91096213,2023-03-28T16:58:51.280Z,"96 km W of Adak, Alaska",earthquake,0.48,1.41,0.2364410009457,5,reviewed,av,av
